Window_Size,N_Peaks,Overlap,Skip_First_K_Freqs,Selection_Method,Significance,Average_F_Score,Average_Precision,Average_Sharpness,avg(Family_Members/Match_Count),Average_Hash_Intersection_Size,Runtime_match-family
30,3,8,0,deviation,5.,0.00106137,0.000528661,0.246958,0.0010711,8.2143,04:00
30,3,8,1,deviation,5.,0.00106137,0.000528661,0.246958,0.0010711,8.2143,04:04
50,5,13,3,none,0.1,0.0010553,0.000550942,0.384965,0.00112567,26.9062,14:08
30,5,8,0,deviation,5.,0.00105327,0.000526636,0.246891,0.0010599,9.82054,04:21
30,5,8,1,deviation,5.,0.00105327,0.000526636,0.246891,0.0010599,9.82054,04:22
30,0,15,2,deviation,0.1,0.00105125,0.000684626,0.0254709,0.00592135,0.218554,00:20
30,0,8,0,deviation,5.,0.00105125,0.000526636,0.247065,0.00105698,10.6149,04:40
30,0,8,1,deviation,5.,0.00105125,0.000526636,0.247065,0.00105698,10.6149,04:21
30,5,15,2,deviation,0.1,0.00105125,0.000684626,0.0254709,0.00592135,0.218554,00:20
30,3,15,2,deviation,0.1,0.00105125,0.000684626,0.0254709,0.00592135,0.218554,00:21
30,5,8,2,none,0.01,0.00103302,0.000488151,0.157705,0.00103571,5.46688,03:46
40,0,20,2,none,0.01,0.00103099,0.000534738,0.272613,0.00095686,7.01843,06:33
40,5,20,2,none,0.01,0.00103099,0.000534738,0.27235,0.000958023,6.98785,08:20
30,0,8,2,none,0.01,0.00102491,0.000486125,0.157697,0.0010254,7.58274,03:35
40,0,20,2,deviation,0.1,0.00101276,0.000540814,0.0275471,0.00255305,0.395989,00:34
30,5,8,3,absolute,0.001,0.00100871,0.000548916,0.102175,0.00160246,0.781851,01:10
30,0,8,3,absolute,0.001,0.00100871,0.000548916,0.102175,0.00160246,0.781851,01:04
30,3,8,3,absolute,0.001,0.00100871,0.000548916,0.101963,0.00160386,0.781041,00:55
30,3,8,3,absolute,0.01,0.00100263,0.000504355,0.174197,0.00131381,1.89812,01:51
30,5,8,3,absolute,0.01,0.000988455,0.000490176,0.174754,0.00129754,1.91533,02:09
30,0,8,3,absolute,0.01,0.000988455,0.000490176,0.174754,0.00129733,1.91533,01:49
50,3,25,1,deviation,0.01,0.000982378,0.000644116,0.0121471,0.00585306,0.141584,00:21
50,3,25,0,deviation,0.01,0.000982378,0.000644116,0.0121471,0.00585306,0.141584,00:22
50,0,25,1,deviation,0.01,0.000982378,0.000644116,0.0121471,0.00585306,0.157788,00:22
50,0,25,0,deviation,0.01,0.000982378,0.000644116,0.0121471,0.00585306,0.157788,00:19
50,5,25,1,deviation,0.01,0.000982378,0.000644116,0.0121471,0.00585306,0.145635,00:19
50,5,25,0,deviation,0.01,0.000982378,0.000644116,0.0121471,0.00585306,0.145635,00:19
50,3,25,2,deviation,0.01,0.000974276,0.000640065,0.0121471,0.00581567,0.141381,00:19
