Window_Size,N_Peaks,Overlap,Hash_Use_First_Appearance,Quantile,Average_F_Score,Average_Precision,Average_Sharpness,avg(Family_Members/Match_Count),Average_Hash_Intersection_Size,Runtime_match-family
40,3,20,False,.7,0.000145838,4.2536e-05,0.46829,0.000254905,859.256,00:23
30,5,15,True,.6,0.000145838,3.24083e-05,0.420405,0.000247031,989.412,00:21
40,5,20,True,.6,0.000145838,3.03828e-05,0.489994,0.000247026,1086.87,00:24
40,3,20,True,.7,0.000145838,4.2536e-05,0.46829,0.000254905,859.256,00:23
40,5,10,False,.7,0.000145838,2.83573e-05,0.501074,0.000241004,989.7,00:24
40,5,10,True,.7,0.000145838,2.83573e-05,0.501074,0.000241004,989.7,00:25
30,3,0,False,.9,0.000143812,1.41787e-05,0.366287,0.000240387,930.461,00:23
30,3,0,True,.9,0.000143812,1.41787e-05,0.366287,0.000240387,930.461,00:23
50,5,0,True,.9,0.000143812,3.24083e-05,0.478536,0.000244452,1317.63,00:24
30,5,23,False,.5,0.000143812,2.63318e-05,0.422818,0.00024744,1271.39,00:24
50,5,13,True,.7,0.000143812,3.24083e-05,0.515572,0.00024384,927.405,00:23
50,5,13,False,.7,0.000143812,3.24083e-05,0.515572,0.00024384,927.405,00:24
40,3,30,True,.5,0.000143812,3.03828e-05,0.510952,0.000241956,754.502,00:23
40,3,30,False,.5,0.000143812,3.03828e-05,0.510952,0.000241956,754.502,00:23
30,5,23,True,.5,0.000143812,2.63318e-05,0.422818,0.00024744,1271.39,00:23
50,5,0,False,.9,0.000143812,3.24083e-05,0.478536,0.000244452,1317.63,00:24
30,5,0,False,.6,0.000141787,4.2536e-05,0.466316,0.000247294,532.07,00:23
30,5,0,True,.6,0.000141787,4.2536e-05,0.466316,0.000247294,532.07,00:23
30,5,23,True,.3,0.000141787,3.44339e-05,0.495791,0.000245186,502.381,00:23
40,3,10,True,.5,0.000141787,3.44339e-05,0.491501,0.00026509,254.688,00:23
40,3,10,False,.5,0.000141787,3.44339e-05,0.491501,0.00026509,254.688,00:23
